# t_decimal_year  t_day  magnitude
1.700037443413419426e-03 6.209259259259258812e-01 2.799999999999999822e+00
1.709924329827544652e-03 6.245370370370370017e-01 2.799999999999999822e+00
1.729919923825342732e-03 6.318402777777777368e-01 2.700000000000000178e+00
1.739204724207838500e-03 6.352314814814814525e-01 2.700000000000000178e+00
1.742658796705081042e-03 6.364930555555555758e-01 2.500000000000000000e+00
1.752640749334726617e-03 6.401388888888889239e-01 3.000000000000000000e+00
1.759960847929800025e-03 6.428125000000000089e-01 2.799999999999999822e+00
1.760943198823511314e-03 6.431712962962963243e-01 2.700000000000000178e+00
1.784709752703619911e-03 6.518518518518519045e-01 2.799999999999999822e+00
1.810029054770562109e-03 6.610995370370370550e-01 2.500000000000000000e+00
1.823496768635957154e-03 6.660185185185185652e-01 2.500000000000000000e+00
1.883705371798898584e-03 6.880092592592592649e-01 3.600000000000000089e+00
1.887349576727181824e-03 6.893402777777777324e-01 3.000000000000000000e+00
1.888680503744468234e-03 6.898263888888889195e-01 3.100000000000000089e+00
1.913524474733808035e-03 6.989004629629629317e-01 3.500000000000000000e+00
1.923252917455399490e-03 7.024537037037037468e-01 2.500000000000000000e+00
1.938558578154189402e-03 7.080439814814815103e-01 2.600000000000000089e+00
1.948794040691889315e-03 7.117824074074073915e-01 2.600000000000000089e+00
1.953927616329992952e-03 7.136574074074074625e-01 3.100000000000000089e+00
1.961247714925066360e-03 7.163310185185185475e-01 2.899999999999999911e+00
1.967902350011496455e-03 7.187615740740740389e-01 2.799999999999999822e+00
1.993316718293959653e-03 7.280439814814815280e-01 2.700000000000000178e+00
2.091710251357608869e-03 7.639814814814814836e-01 2.600000000000000089e+00
2.131511306922163895e-03 7.785185185185184986e-01 2.700000000000000178e+00
2.142190411798959495e-03 7.824189814814814792e-01 2.500000000000000000e+00
2.143838226201313663e-03 7.830208333333332771e-01 4.000000000000000000e+00
2.169474415653324054e-03 7.923842592592592604e-01 2.500000000000000000e+00
2.181801334932473822e-03 7.968865740740740389e-01 3.000000000000000000e+00
2.194318386642664289e-03 8.014583333333332726e-01 2.700000000000000178e+00
2.201416664068190070e-03 8.040509259259259744e-01 2.899999999999999911e+00
2.208356497801181647e-03 8.065856481481481488e-01 2.600000000000000089e+00
2.229239376477170666e-03 8.142129629629629717e-01 2.700000000000000178e+00
2.293567515645997951e-03 8.377083333333333881e-01 3.200000000000000178e+00
2.352318436837625912e-03 8.591666666666666341e-01 2.600000000000000089e+00
2.416202933667357944e-03 8.824999999999999512e-01 2.600000000000000089e+00
2.417597238161657558e-03 8.830092592592592160e-01 3.000000000000000000e+00
2.425963065127455676e-03 8.860648148148146941e-01 2.500000000000000000e+00
2.467507001309885654e-03 9.012384259259259567e-01 2.600000000000000089e+00
2.480055741758583048e-03 9.058217592592593403e-01 2.899999999999999911e+00
2.566977951482766942e-03 9.375694444444445663e-01 2.799999999999999822e+00
2.602057385009806656e-03 9.503819444444443487e-01 2.799999999999999822e+00
2.628675925355528336e-03 9.601041666666665364e-01 2.600000000000000089e+00
2.629721653726253480e-03 9.604861111111111516e-01 3.299999999999999822e+00
2.657956319735822401e-03 9.707986111111110983e-01 2.500000000000000000e+00
2.684448105127516804e-03 9.804745370370370194e-01 3.000000000000000000e+00
2.686856449254034201e-03 9.813541666666666385e-01 2.600000000000000089e+00
2.692306912277205814e-03 9.833449074074073204e-01 3.100000000000000089e+00
2.736195815109139767e-03 9.993750000000000133e-01 2.700000000000000178e+00
2.747255184848017198e-03 1.003414351851851904e+00 2.500000000000000000e+00
2.781352267481346490e-03 1.015868055555555705e+00 3.600000000000000089e+00
2.791777862450086668e-03 1.019675925925925819e+00 3.100000000000000089e+00
2.803534384436113473e-03 1.023969907407407121e+00 2.600000000000000089e+00
2.810252396999558290e-03 1.026423611111111134e+00 3.299999999999999822e+00
